danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_uri,duration_ms,time_signature,key_mode,track_name,album_name,artist
0.891,0.558,G#,-3.036,minor,0.067,0.00129,0,0.0287,0.747,101.952,3zSGtdgRCd5a098UzKZ7Ec,211840,4,G# minor,Roll Wit Me,Full Circle,Boyz II Men
0.803,0.705,A#,-5.316,major,0.0624,0.107,3.6e-6,0.147,0.49,90.995,71GAvRsilpo9pqd0vYn8Mo,174200,4,A# major,Mamita,CNCO,CNCO
0.761,0.838,E,-3.073,minor,0.0502,0.4,0,0.176,0.71,93.974,7czN4M4Ji8CnVXNdpMqYwK,222560,4,E minor,Reggaetón Lento (Bailemos),Primera Cita,CNCO
0.798,0.809,F,-6.152,major,0.0839,0.0317,0,0.214,0.471,90.006,1XgpK29CGGjZnxPYkiRbh4,206920,4,F major,Hey DJ,CNCO,CNCO
0.757,0.709,B,-5.342,minor,0.0746,0.144,0,0.354,0.466,93.992,6ziVPV26v172Pijs6LvubI,190840,4,B minor,Bonita,CNCO,CNCO
0.674,0.811,G,-2.324,major,0.135,0.0984,0,0.0527,0.838,188.19,4JNV7HMbKr28YZiUvQTfIy,167987,4,G major,Sólo Yo,CNCO,CNCO
0.69,0.832,A,-4.116,major,0.0956,0.0168,0,0.514,0.572,91.972,0CrcWtJQB7bQE6S1yEbxnP,215e3,4,A major,Mi Medicina,CNCO,CNCO
0.706,0.884,A#,-3.767,major,0.0435,0.292,0,0.344,0.506,90.036,6tfeeNNcvK8JUOLC1aYXNm,210600,4,A# major,Tan Fácil,Primera Cita,CNCO
0.817,0.676,D,-4.607,major,0.0379,0.0924,0,0.0988,0.796,115.999,6MbmpIblXPvQUGZZGsWrW6,188533,4,D major,Para Enamorarte,Primera Cita,CNCO
0.663,0.874,C,-3.783,major,0.0506,0.147,0,0.367,0.554,91.85,5RFoXzsfsmq19XVNL7tjAs,185240,4,C major,Quisiera,Primera Cita,CNCO
0.692,0.912,A,-7.733,major,0.0513,0.00456,0.00273,0.0616,0.642,104.862,4PgPnzbAgjCQ2eA6YAWcUw,238533,4,A major,MMMBop - Single Version,Guilty Pleasures (International Version),Hanson
0.543,0.812,C#,-5.323,minor,0.0293,0.022,0,0.269,0.309,145.123,7wzxUErTA9Jw7UdZIeu1bi,222573,4,C# minor,Save Me,This Time Around,Hanson
0.437,0.723,C#,-7.013,major,0.0471,0.0884,3.91e-5,0.113,0.344,139.765,4dZcpH5Yuh3sBvFf53lsuj,251293,4,C# major,I Will Come To You,Middle Of Nowhere,Hanson
0.623,0.833,B,-3.301,major,0.0328,0.115,3.09e-6,0.125,0.825,89.055,1KOSVFgBDV59NnY20CsB83,212733,4,B major,Been There Before,The Walk,Hanson
0.605,0.906,G,-6.187,major,0.0724,0.0272,1.75e-4,0.236,0.909,172.137,6JGaZ0N4qhTCCsTAFHVUq4,225400,4,G major,Give A Little,Shout It Out,Hanson
0.549,0.983,D,-3.684,major,0.0683,0.0033,0,0.0749,0.772,105.964,7HuIvjeVIycYejXy1R7F7X,272307,4,D major,If Only,This Time Around,Hanson
0.585,0.972,D,-5.125,major,0.047,0.00176,3.59e-6,0.172,0.607,115.812,1MVKRAYH0KRBqngfto8szW,252360,4,D major,Where's The Love,Middle Of Nowhere,Hanson
0.639,0.548,G#,-13.534,major,0.0394,0.29,9.68e-5,0.366,0.887,98.359,3b0EOvScbZUc0qJx0E1L2z,176333,4,G# major,I Want You Back,Diana Ross Presents The Jackson 5,The Jackson 5
0.25,0.312,G,-13.117,major,0.033,0.674,2.41e-5,0.244,0.45,160.262,5hLYFkl1CEKay2hKRbZSsG,235640,3,G major,Who's Lovin' You,Diana Ross Presents The Jackson 5,The Jackson 5
0.511,0.509,F,-7.204,major,0.0251,0.566,1.02e-6,0.652,0.343,93.745,4D9wVFpbDRDK2s6vSgtEl0,237760,4,F major,I'll Be There,Third Album,The Jackson 5
0.76,0.745,C,-8.509,major,0.0434,0.362,0,0.156,0.921,113.729,4P9H4333UbJRizKAlTm0cw,179307,4,C major,The Love You Save,ABC,The Jackson 5
